Protein	HG_RPMI_exp_1	HG_RPMI_exp_2	HG_RPMI_exp_3	HG_RPMI_stat_1	HG_RPMI_stat_2	HG_RPMI_stat_3	HG_TSB_exp_1	HG_TSB_exp_2	HG_TSB_exp_3	HG_TSB_stat_1	HG_TSB_stat_2	HG_TSB_stat_3	ST_RPMI_exp_1	ST_RPMI_exp_2	ST_RPMI_exp_3	ST_RPMI_stat_1	ST_RPMI_stat_2	ST_RPMI_stat_3	ST_TSB_exp_1	ST_TSB_exp_2	ST_TSB_exp_3	ST_TSB_stat_1	ST_TSB_stat_2	ST_TSB_stat_3
RnhC	15518.33912	14049.93052	15116.81483	1912.283812	5516.025716	4229.3831	23758.48214	21632.76193	24177.65	8541.842654	8137.488449	7630.690851	23516.2366	14671.19658	16842.63559	6031.642153	4873.51958	5661.86527	26704.29104	19763.24117	28067.44173	7938.112378	13403.4217	6028.443196
SAOUHSC_00731	9470.346681	10378.87556	7702.570393	2145.150622	3782.901158	3408.632356	32635.78598	16017.75663	19941.43646	20411.85451	17211.92673	14728.87173	11356.04059	5527.545717	7054.664362	12505.24265	15019.08595	25559.25369	24460.77485	19223.67959	33727.29349	24107.02876	16679.50524	18102.19569
SAOUHSC_02279	5234.199856	3229.409625	3554.868965	NA	NA	NA	5071.942063	4789.828221	4792.633109	3025.001394	4508.8871	3000.898346	475.2543507	NA	2502.679694	NA	NA	NA	4734.298955	3801.72984	5476.308619	3032.864086	1146.509356	2470.923423
LytH	11179.53291	25813.1484	10169.14179	3394.079991	6907.100985	8717.582778	14890.05171	14097.13086	9600.482852	12484.53328	16734.57598	10262.43626	12205.29349	7566.663431	13513.27696	13339.16695	9733.450354	8072.516561	7070.69705	6678.915207	11600.00779	12673.05965	14615.90526	9392.965413
NrdF	153129.8301	164594.0277	152889.9569	12108.47217	13955.66734	14278.46878	117343.2038	117885.637	109804.5505	45898.29299	41900.24588	39890.17363	150545.2941	153001.6592	148972.1293	4395.698112	14335.77381	22458.0456	122013.0879	93136.47779	120330.384	35548.76828	32525.99296	37980.87301
VraR	101559.637	121733.0837	131101.589	116420.1312	68789.14447	61200.21252	133424.8392	136420.7229	115463.397	75209.78652	92177.24808	88991.5712	121263.2003	79527.29135	98139.98534	133583.5673	101599.7277	108846.4208	110548.1571	111373.147	118569.167	100114.2554	103190.5412	80931.18114
MsrB	225801.04	172865.1083	168780.2024	148696.8123	146825.5402	164590.0701	152605.8671	152820.7348	128445.6104	232783.0686	147362.9448	205317.8043	185716.317	100525.3168	138970.8768	165980.9486	207047.4879	188723.2796	144453.2112	130084.7676	109087.5906	237482.5543	196783.9195	275087.3192
PrmA	34771.0147	40829.27867	29893.9549	17505.07174	13316.65306	21828.05435	69035.66199	55283.8402	87837.84086	27997.19729	49997.64543	23029.86896	36661.73679	26675.58791	28797.41972	26939.09288	31469.74478	48126.08918	73358.52445	58687.41347	77070.52813	52369.23907	59951.87882	33605.93643
OsmC	121240.7175	101341.0797	54962.81588	441708.1716	609685.5452	461716.5247	192181.0815	116442.0401	122662.8033	658680.3704	529444.6986	595209.268	128017.0449	102426.8519	123018.6627	404325.6744	359028.648	472871.9288	212133.5428	73856.15729	93716.31508	452517.5642	444622.6793	396059.0297
SAOUHSC_01455	16712.37592	13150.01818	17119.55376	7147.152479	10041.19942	9381.609249	13156.3041	14807.1236	19778.09265	19950.97291	18537.38032	21225.40244	21854.17086	10656.85257	23662.17688	10450.75943	10714.51688	9742.96481	17207.58975	11255.0713	16528.76048	16131.95277	14870.46347	18905.20092
Tig	840303.2479	863352.1613	1051694.119	741880.1876	678507.7905	560804.0369	886010.9566	1058089.761	909506.6273	554559.3589	592929.4652	503431.0217	816334.1305	878075.3264	929638.0243	692663.6668	866206.4361	751823.0749	1082207.407	1045980.124	1150547.892	737811.3667	592516.008	523688.965
SAOUHSC_01974	33315.13544	36972.36308	33485.66537	9313.330136	18795.65431	17871.84872	46744.94945	37380.7614	44265.03753	38341.11365	47032.3634	35272.083	23947.62555	27759.30133	23518.79042	24047.24018	18089.81866	15637.21372	40450.59468	21026.30712	36351.35935	50931.94309	43113.36254	33592.71019
GpmA	470553.2632	398794.7036	479437.6147	333457.4285	589825.6288	465879.4309	212476.3241	155143.0908	110764.4679	397759.8573	356456.9496	359610.9629	500272.3971	394030.319	397777.3617	395699.8092	418525.2594	393393.146	145121.7578	133192.3355	105897.4204	346076.7579	305542.4901	378803.6078
UbiE	15336.82622	35814.63785	34321.35455	7322.24445	10076.93825	17951.58296	61019.67613	70131.14604	67527.73892	48636.81098	48531.47025	38977.02928	31078.39217	13067.41685	30899.64476	15802.93148	16937.83658	13500.12376	61594.277	46144.38551	62177.11864	18658.42401	33023.65921	36391.03932
Gid	116849.3813	107556.4248	106768.7587	61645.99426	55015.46936	79494.39596	185421.0068	206952.422	139690.0797	82113.06421	71116.85274	69826.06855	124949.5364	81956.64267	123857.9438	91704.97311	67026.35173	85483.01802	157858.8442	166886.8017	189829.7558	82518.08224	70225.2005	74740.70652
SAOUHSC_01868	300648.9063	284377.6728	334597.1079	307513.0043	310283.7407	369036.8653	242910.8687	179410.732	207319.263	346737.5416	285836.6596	354721.6312	318995.101	247175.0061	257335.2833	332971.2567	349933.7589	299613.0397	198581.3137	154025.0606	170217.0126	309885.9645	313411.9363	369210.6913
UspA2	181493.5213	192866.8049	212143.5955	338255.3563	239952.2807	303174.3922	208495.6971	189109.0926	196940.4516	387006.6976	392676.3366	378475.8767	185088.5268	130166.0423	163819.9114	268818.3036	336080.9921	356419.3561	200499.6709	163151.4528	167587.8875	365703.0584	334420.4084	391962.5346
SAOUHSC_02812	8313.899899	9952.476136	8240.288903	50526.53794	35125.51126	54961.35519	9907.667459	9277.312609	10758.95212	7473.521816	8939.607691	7884.539273	12353.5332	8798.133666	10944.56324	41149.91783	44151.05316	42342.09088	18333.58064	17237.5097	15781.61832	10722.55	9753.703051	10425.70597
RpoZ	352159.8336	315272.7305	320497.9436	225613.6961	238452.0862	242254.8485	324682.208	391781.3289	541742.031	260161.9803	282263.2887	237435.9274	410797.6594	323269.5673	370777.9485	345976.4453	200497.0058	282912.2375	502445.4258	288466.7621	441920.0665	220056.1401	270238.8424	222648.7021
SAOUHSC_00865	319410.4726	289240.9633	341030.439	159648.8624	204680.6411	263069.5935	206616.8904	209057.061	189123.4147	259710.6224	261229.6235	310244.5629	338248.3819	202675.427	263026.6794	325021.7883	279153.3805	219140.6286	219375.6336	145085.9079	212921.145	214062.6567	257675.7792	353942.4398
Opp-3D	NA	NA	NA	40360.22903	11824.7069	24834.19158	NA	NA	NA	17898.12313	14944.4192	15902.3014	NA	NA	NA	13230.16047	20502.03255	22714.05401	NA	NA	NA	17140.95122	11652.9915	12388.02977
PepF	313140.5726	315691.1512	374298.9014	273832.3236	235515.0402	335214.1951	163750.6381	170023.3369	222130.328	171973.2419	202014.7769	172024.5223	324058.1571	300485.913	277061.0744	359652.041	463324.1405	298072.6403	213582.5323	154447.9514	161075.9262	287314.9683	244374.4054	215904.5265
GlmM	225366.4377	264905.4767	218544.3121	184377.8956	168949.1962	202672.5709	150810.5981	166882.9812	165185.8914	214081.6863	166389.4209	184385.489	241871.0154	182100.2179	220371.1942	146283.8923	157361.2223	162739.9085	162360.6518	111916.6556	154812.3738	204116.7369	152531.0451	186925.1793
TypA	176319.6774	177734.8639	179175.3226	77910.77898	96285.71433	90795.95773	304021.0198	331338.0578	322937.8788	111674.5964	119695.9948	103420.0801	189871.3292	154608.5626	191783.9692	125781.2621	93184.56296	82138.48371	303635.4801	270043.6082	293389.9492	116159.904	106091.3174	106003.4429
ArgG	2524.87902	6373.303911	7696.112948	NA	NA	7101.300776	6120.985468	3326.838747	2852.344611	4436.67463	500.510264	4928.461758	3365.682266	1781.279644	8945.019553	NA	3674.328359	3248.046937	3064.01801	5947.146216	4427.909246	NA	NA	4098.475375
PurQ	185481.18	169458.2632	215599.1173	80415.68636	157236.667	137875.5752	70678.1671	51853.4695	66285.40516	199283.7793	223181.3968	169283.8078	193818.1119	172216.8001	163925.102	154743.7672	125089.9071	130599.1225	68859.84559	25908.89985	27826.5806	112181.3451	149858.8535	141212.1061
SAOUHSC_01413	67385.56912	120698.0093	81991.50074	98654.56493	85558.62697	72087.11864	133200.8344	116395.2143	102246.9967	46417.84197	62449.9472	47458.18067	81596.02317	86254.08245	71378.16865	88253.61008	96871.38468	58008.0324	92672.67111	93231.8357	83682.22141	81387.2996	66816.72025	60899.71584
Pmi	8271.963773	1306.842515	4767.828981	768.9599451	NA	763.8867969	4767.757513	5415.867484	8748.496648	30117.974	22696.45625	41875.94785	6565.405647	1510.080031	3708.164711	NA	7616.551055	13020.88343	17988.12482	4097.307535	8112.221809	24656.57659	29337.62701	33867.14374
MetF	NA	NA	NA	17262.16187	21534.31556	20220.24225	NA	NA	NA	NA	NA	NA	NA	NA	NA	29922.09016	32812.03097	22931.84169	NA	NA	NA	NA	3814.936666	NA
Sun	45319.99931	35261.68791	34438.84668	25009.71347	26866.77516	18647.64092	49056.37378	47640.84681	59317.09796	25600.79325	24768.5784	23845.29159	47381.27697	20911.78747	37004.48486	21132.37226	19703.09609	22988.97807	65175.01518	50247.36071	65970.65429	34164.43289	25346.72616	27631.83043
DapA	44989.20575	33755.28789	34007.64556	75389.96393	53040.72596	77495.27194	36202.36336	19895.54732	17970.69627	69555.27272	41202.66962	59183.43219	35434.42287	25306.79784	29663.54592	80434.44466	109460.0002	106573.5019	33630.01959	14875.77238	18638.41905	41211.77639	46603.40667	59227.3372
MurA2	57261.32863	73224.58513	75562.8826	69652.03049	67177.489	76363.52611	93299.84948	88596.82202	73119.4943	53604.17074	44745.40214	54234.80654	46992.73426	64330.80525	62771.845	76999.49839	54186.51402	43720.17326	63197.70978	70769.14205	60315.90429	62189.72718	53795.98109	42490.03516
CstB	13942.68773	9503.409193	12390.50666	NA	NA	NA	14510.90394	16122.59441	15627.1208	6977.664146	14654.89419	9671.93232	34420.58448	36219.05619	27365.64022	14923.93734	13593.21744	26991.27485	57281.84633	35965.70108	47772.99187	34150.52207	23872.40621	28176.1596
RpoE	545213.9091	672542.3001	687125.9589	272995.7723	300994.4556	329070.3995	678750.2257	716228.398	600434.2596	382341.2763	265689.973	343908.1925	462089.6804	425312.8271	525336.6927	301993.2972	311628.1143	349206.0105	613183.4538	407795.0561	519603.3691	436609.7672	255893.6603	357572.5679
PpnK	40413.99199	51098.74936	54561.8976	52060.16364	59197.77625	66812.05023	49052.6241	59131.23795	52705.7523	48718.86352	53767.99529	40146.38341	45757.35594	35412.20393	57558.66676	52540.30254	53113.779	31502.10735	51120.12808	43253.08945	46772.19803	62466.87539	37225.92768	50816.5457
KatA	103334.0439	95392.28906	107777.8018	233094.2479	269640.0178	274961.3487	43036.23237	44061.11262	47555.47605	858184.6339	712930.5205	800482.9847	135716.4697	61641.7108	109657.3679	307005.6953	303001.3216	261120.3589	44914.8128	26964.28029	45781.93569	543808.5419	555090.3525	560782.3121
DeoD	42930.4405	41769.12078	38820.257	14153.22101	23940.3837	16844.17751	59775.18721	47310.32243	44152.61093	11910.28685	19489.78016	11603.26547	21877.84706	5379.854159	15924.20387	35539.49612	29678.03697	14554.73726	47982.77954	34416.82804	22077.5982	15300.88158	9347.75108	9528.646283
GlnA	216879.8655	251072.9803	236778.9252	204487.4715	236174.4655	232710.0464	498161.3465	574328.8804	476498.0045	324007.3729	308015.9945	354370.3205	172112.0587	239237.1056	273561.7581	238537.2608	218643.5626	178418.0084	481977.0764	355468.3012	488180.7268	329300.3936	315426.0148	308252.8646
SAOUHSC_01440	NA	NA	NA	NA	NA	NA	NA	NA	1642.252618	1919.4938	NA	1793.088693	NA	NA	NA	NA	NA	NA	1096.224494	NA	NA	NA	NA	781.3926581
NifU	257038.1129	208188.7292	248161.6092	23105.81131	18382.77395	22621.56781	416111.539	390405.0021	491032.2852	236054.1787	216197.9331	212673.1899	161940.0079	161546.9976	190502.7486	9376.436963	63741.17164	114954.4428	466643.2995	305685.8271	431039.744	222145.5686	149676.7355	244238.7995
SAOUHSC_00308	11720.2971	8098.353656	10160.63702	4541.511192	NA	1494.675865	3600.849221	9122.209058	15033.98812	13746.439	11584.837	13451.62817	22404.63884	9085.512508	24411.81397	4912.3735	8295.161679	12018.30736	12190.49176	18349.10905	15697.82246	11659.57886	18141.35848	21005.26674
FabD	213547.5213	172248.0281	214055.2874	73274.49979	54636.93352	105725.7462	176514.4052	195272.5502	232086.1907	112897.8998	98937.93673	108050.0262	249507.2832	134696.8963	207678.4547	111749.8589	134048.0059	105387.8931	231318.2016	139241.8857	219691.226	85204.4345	86265.13854	111849.8075
SAOUHSC_02530	NA	NA	NA	NA	NA	NA	21839.92549	29866.99501	25623.4744	8939.393047	10131.75485	7508.859737	15631.07468	12384.03326	8756.355436	NA	NA	11572.68506	41183.675	28396.55129	36358.55515	6286.050249	8173.161747	9323.531415
MetQ1	12498.05347	12285.32991	13668.98412	274987.9022	161287.6214	304090.5841	10308.52671	11542.38035	13104.61878	22435.26865	24904.42802	22098.65647	9401.562959	NA	5132.848394	208455.2791	217984.8363	168110.926	6285.730786	NA	3062.508466	25121.40922	21804.37851	25749.22509
LepA	88421.21877	81240.52461	91066.37436	40617.76488	39421.36575	38415.3969	115851.2981	131748.8973	136597.0069	63681.09165	60775.51375	61426.26033	80787.03662	59243.10185	93503.92467	40062.49718	51366.23817	44565.5797	112958.4063	97299.71687	117017.4945	63785.01728	59312.78227	63068.65864
SAOUHSC_02747	48131.77937	41197.01827	35704.27395	37331.03046	27552.1079	38369.2907	47888.34582	43575.81707	63570.11222	72339.01776	66284.74529	60537.52862	26129.7058	21038.62751	15521.73365	11569.40037	24007.96902	26411.14147	42676.22621	29397.96509	37485.07925	69516.64865	52886.22729	60137.32595
LytR	14971.04235	20074.82564	12848.05189	NA	NA	NA	34262.60661	33324.17519	18963.15902	8001.554139	11823.59174	5872.914233	21976.06408	24197.37994	19182.8031	6694.145424	11017.14531	NA	31204.20368	24954.20099	26412.51347	12979.57519	17685.36305	6564.140704
ZnuC	8641.534527	6158.886283	14243.59702	NA	NA	NA	13565.78501	NA	8617.284975	NA	NA	NA	6148.344872	NA	5991.701384	NA	NA	NA	7149.606637	NA	8878.953034	NA	NA	NA
McsA	15466.8909	17515.44434	20965.7349	5658.522339	6860.556154	9958.383037	17690.72807	15918.02435	16149.10262	6829.842005	14020.02418	13020.20627	20345.74138	24713.47089	26710.70917	5833.970342	9425.88682	8177.087514	33611.64846	26111.59057	35616.57529	33691.83038	33374.02081	30516.58339
RplI	153164.4795	159113.9216	106184.6205	91569.94641	64451.69093	97958.44765	125716.1251	152144.4007	184517.523	65591.05933	76631.10384	58320.56932	153288.5304	160063.9692	150225.3919	54194.31619	45930.19144	28312.03807	166655.7545	120786.9205	146896.6466	68253.36875	99686.53304	75743.53698
GapB	5282.789384	5808.009696	4676.852469	NA	NA	NA	27413.92255	2706.424994	6010.76253	97692.08388	76316.04406	97205.43256	2701.090766	12692.5227	2176.081507	NA	NA	NA	12384.9011	2153.512382	7064.111781	106536.7851	98024.84022	142595.401
PnpA	226403.721	230191.3651	232961.5434	150666.4189	150173.9013	198411.5172	245518.2125	251397.4138	217021.3321	128465.9645	121602.7388	132213.1143	222800.2154	221635.7215	201662.2024	232923.1593	208667.2625	159873.9821	262836.9448	190090.5686	245798.0849	145061.9549	155942.4165	128753.0134
SAOUHSC_02875	12813.80689	8570.089325	4008.486573	16722.55538	43263.50949	145325.2977	8167.269933	7037.215522	6229.016646	31470.67979	23408.07764	27848.0344	6168.849666	419.1648663	882.5299019	83882.3567	114985.8902	38757.72458	9758.568391	4990.520078	8936.465421	17698.80394	23245.50027	26776.26797
RpsI	4792125.763	5627820.143	6007591.139	2542100.039	2878305.204	4032224.682	5978077.495	5659258.167	5590497.41	1904022.199	1875019.157	1783218.031	5617888.396	4386667.585	5737287.939	2649022.42	2542032.865	2593138.914	6238443.205	3728178.013	5161050.12	2063416.572	2118687.732	1935098.185
AcuA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24989.11165	19151.77384	21269.15169	NA	NA	NA	NA	NA	NA	NA	NA	NA	20670.79668	19672.59033	23207.46827
PutA	NA	NA	NA	NA	NA	NA	NA	NA	NA	70882.64581	50021.21348	78821.58115	NA	NA	NA	NA	NA	NA	NA	NA	NA	36371.7646	54533.61383	72897.0921
SbnE	105827.1735	115838.4649	109690.6041	55926.72043	63031.40533	88935.17074	NA	NA	NA	NA	NA	NA	143902.0385	59079.18514	173987.4895	131549.732	121623.4758	51648.22361	4176.823877	4929.547336	6896.846744	2581.076963	NA	4908.342634
SAOUHSC_02824	NA	5544.699324	NA	NA	NA	NA	6124.559442	5725.746352	9565.910624	7167.154045	NA	5612.116466	NA	NA	NA	NA	NA	6145.630639	5751.649528	NA	6670.0834	NA	NA	NA
RelA	33472.23686	47758.87258	34189.87676	40246.34495	47636.72309	48105.96923	31620.53558	33372.11994	31954.73012	32244.98465	32145.31029	31758.66599	37068.55948	27677.7272	37768.72179	48046.66595	76098.43316	52088.00901	35684.70151	24150.65836	29980.05874	37905.14112	30849.61946	32765.62463
FruR	NA	NA	NA	NA	4549.18953	5348.706366	15804.88905	21465.3972	13656.46859	19878.63443	20172.47846	23804.90561	NA	NA	NA	2046.023317	6584.94775	NA	5741.561607	13853.49606	7259.025113	21273.69233	19446.75261	13678.09777
RsbV	122590.1598	124902.0334	135547.4212	172329.9636	113769.2151	158578.8095	129613.5512	153682.1728	143062.4551	179698.0982	166272.3403	187006.4159	129454.7524	137567.4365	108966.5869	116505.5494	174623.7809	190716.8007	130740.7538	108630.933	110756.2951	155550.5861	162306.0018	154406.6989
SAOUHSC_00362	46661.75816	44450.60592	52075.37453	44279.30521	42933.47911	51778.34285	44343.85818	41408.0306	31757.85289	37062.40754	30101.49277	33942.68433	41573.9788	34969.49849	41107.07545	62084.77424	52785.57546	44886.5495	34144.71952	34442.90455	42814.09048	49456.64835	40223.69103	38669.60394
PurM	157082.8667	195638.0564	240922.3626	92591.37849	77012.53111	111056.7618	57504.33905	47073.53615	62327.33868	224023.6474	187975.9309	211528.8745	222105.5475	185934.7575	165819.6116	135552.9543	97924.063	94658.37336	81378.56888	14076.53794	16434.57906	206196.3744	194676.4609	214689.5385
SAOUHSC_00153	84858.98262	93787.31893	85044.85456	47710.0636	46522.68834	50981.34698	60628.59581	54325.13652	54244.61218	100718.0099	108422.7279	94746.38324	65722.57615	106026.7259	76715.82672	83509.5649	84836.88034	80597.06133	69922.19504	43765.81747	52823.29814	99274.80982	124115.4941	115045.4122
SAOUHSC_01267	21782.39043	33360.55705	34015.59937	32364.86417	28924.11939	24119.83208	86749.32825	85021.39498	40592.35307	18226.084	21686.22911	17730.70511	25928.24967	49776.59491	27871.17954	41934.98341	27604.41006	14825.06266	41276.77063	68899.01179	56074.07726	28744.46141	29867.99521	23482.15778
SAOUHSC_01460	65000.62733	85791.56356	70885.10433	40913.19429	37100.17245	32941.08217	114000.9803	106740.6452	86188.64576	52594.36981	44605.36581	48738.4985	66816.05267	65902.75669	57589.17368	81418.55077	52147.62237	54842.77657	103650.2021	78759.32722	93431.78796	49008.18625	43754.25711	50822.44589
GrpE	465418.2433	462623.3282	563111.813	357588.1949	201471.0134	306639.0836	649851.3616	559307.5028	553840.1081	317714.1821	291216.3225	286437.2021	491167.0778	290690.5008	465932.2999	254643.288	375241.8116	307648.5792	636199.82	517008.9872	627259.2737	324232.1149	309763.0521	295371.0279
RpsK	2880795	2419299.002	2875674.034	2439192.798	1917195.041	2910236.203	3447869.687	4417724.023	3600129.604	1397635.809	1337655.469	1266538.454	2471692.033	3448008.384	4459931.361	1899141.817	1747199.26	1970510.136	3879059.931	3593178.492	4587172.819	2010807.629	2070415.671	1338567.155
SecF	17716.70134	22481.35631	25905.85715	33840.58027	23155.74252	27141.10299	42086.45579	36951.86529	31034.78069	23828.45942	44291.49215	23667.87593	21614.53226	20612.15925	21044.43658	28811.71059	28100.97586	18155.48793	25461.3745	24049.2287	34699.80341	34463.03096	38528.38122	29587.13445
SAOUHSC_01317	3171.705993	7381.963033	4019.13659	4425.131301	NA	3222.229415	11140.96831	11087.91244	8880.034252	20107.89243	19607.7928	17617.69795	5419.557435	3705.708563	2652.237147	4564.262398	4891.752147	4814.602532	8537.322857	5793.912713	6678.153158	13462.37759	13816.83507	14225.54317
ThyA	42813.44007	24744.01505	26569.27129	26078.80941	13785.2299	47466.46923	8287.392957	16344.44072	42208.17241	48239.22067	40900.8884	27680.7223	34486.57411	24536.13356	28144.25176	22731.00164	18679.19327	27713.09461	22377.86031	8169.932987	25593.86149	15597.10352	21245.03729	22551.76519
DivIB	9456.338821	11499.14537	6877.013551	10738.71012	9122.562204	7217.157553	15683.86512	15250.23124	18205.0757	18308.40273	18852.31404	16114.29832	9950.620582	7246.038996	5286.403047	8286.824168	7880.156004	9869.817261	12960.99289	9752.337874	15629.38229	12408.51561	13210.33942	15872.25194
OatA	3196.81755	5919.451439	4517.522454	NA	2644.382236	4313.160233	17430.79188	16990.73934	8413.402227	7451.123664	10355.15448	8668.701124	7292.499961	3382.180554	6214.930826	5901.870276	4132.44493	1583.468131	14689.89996	11326.85208	9551.786237	10518.0285	9191.609389	6402.341099
IlvD	NA	NA	3863.89918	16934.82325	8802.170173	15467.10996	NA	2116.349304	NA	9079.397239	5632.513788	8953.920924	9528.5934	NA	21144.48529	16330.83982	14159.7738	20407.30782	NA	NA	NA	8662.17147	6538.097447	9450.03542
MtlA	64792.16827	33994.90544	45195.85238	61408.11426	55974.16071	48110.5601	72822.39684	62091.87359	63483.8665	166268.428	157669.182	147349.9443	53365.651	60494.03268	72693.05066	53153.02538	66573.30677	108906.5743	80760.26563	57913.38949	71113.45639	118133.4125	113862.4159	152786.8931
RpsF	552560.9906	1117700.501	993938.8943	548288.7543	348884.0726	656924.8714	1225596.003	1453964.014	1217163.744	602952.4062	569877.0193	553752.3992	828792.7063	744975.1971	816918.6409	621471.393	743109.5407	645648.7636	1510894.493	1161829.131	1311929.948	561087.4393	506042.7227	400938.7163
SAOUHSC_00893	9524.496383	10077.46266	8104.748762	12283.06827	19092.92839	9110.911567	6803.659005	6337.987801	10240.32099	12293.6948	9149.038324	13723.91523	6907.848724	6666.907742	5074.422399	19874.9538	12508.83443	12690.40025	7565.067101	5223.372391	6424.568346	11438.90925	8519.35319	8847.085683
MvaA	39364.93141	34366.58756	37231.88318	22748.7493	20249.15673	18687.31829	46495.539	56890.92725	57118.94824	71637.92176	62744.29553	61144.66523	38332.11193	28423.90281	39260.82329	16297.64903	27223.15073	27849.55873	65666.85233	45136.70497	55298.03195	57510.0435	46535.06329	72284.56091
SAOUHSC_02954	NA	NA	NA	64016.42633	64278.93904	145816.8517	NA	NA	7561.165609	9156.860411	6245.337881	10487.45175	3143.950317	NA	NA	37283.54445	88069.51344	101529.1456	7151.668247	NA	6297.284877	10128.49637	10262.31371	9105.136465
SAOUHSC_00284	23450.9797	29472.33856	23165.58469	NA	NA	NA	3623.464897	9932.841988	8134.240434	46601.1535	44229.1265	45531.20445	29459.33837	12678.2473	16188.78097	30154.23894	NA	9553.906751	5083.268489	5875.273919	7269.839252	29650.87227	36681.70384	38603.50036
SAOUHSC_00287	NA	NA	NA	NA	NA	NA	1825.927726	2252.435734	2470.583433	2186.67689	NA	2341.262709	NA	NA	NA	NA	NA	NA	2024.910322	NA	NA	NA	NA	NA
MntC	49842.81153	69024.09269	67509.70322	48165.69457	34170.00734	49243.23728	61344.03243	53652.84724	38693.24552	98303.12277	84649.6709	90992.69656	60852.34552	75400.51977	40010.08049	47551.87569	41014.99721	51283.51111	40151.17768	75951.38356	44655.75455	79438.26941	79534.76659	80951.84362
PurB	303615.73	313741.7773	294321.3338	181794.6705	142015.1514	240984.7062	102848.5668	113618.2375	115626.0776	211933.9213	138300.6702	211594.8212	324245.9352	220383.3772	257826.3628	205920.5113	176378.6669	137864.7405	114786.4762	78972.38711	115759.1725	159801.6813	143531.6496	173996.4901
RplQ	1211325.238	1294931.634	1402203.173	828731.3334	846639.7469	943163.7772	1762784.634	2086530.583	2314051.355	955940.25	852134.5881	759494.4819	1207932.423	1180978.307	1430741.146	862363.1753	1103999.706	866770.6001	2232520.707	1459730.067	2311469.695	791128.2981	716177.2059	827202.7458
SAOUHSC_02396	109080.1381	89045.36229	98168.93469	100018.9046	86836.74951	102365.8057	79568.03361	88253.82331	86509.35965	103916.3197	86132.96169	104063.7495	81438.44786	78722.55433	75979.20308	81132.01931	99075.87011	86862.74191	67753.15552	45791.69056	50675.01457	76161.78434	86415.67265	97489.63379
FolP	34928.61378	35871.4647	33252.0192	18509.93135	14817.41665	22686.42335	29547.51984	34824.4279	36753.67977	48040.4795	45768.78006	46052.83119	29346.13607	35614.39487	29695.38264	23111.80248	30278.46986	28784.35252	38947.87375	24069.43828	34058.51603	33624.41496	34894.00524	46707.37904
RbgA	24736.63142	15145.86091	19951.27131	16489.70781	19126.6836	12793.83838	17716.15081	21302.45022	24395.18348	13736.59749	11735.69873	14465.96901	21312.23955	12406.50872	19803.5446	20848.55194	15780.33446	13905.85645	20902.98951	16881.17563	21854.44892	17164.92554	16042.32062	20946.59659
WalI	1837.02239	NA	NA	NA	NA	2154.717552	2111.934294	1467.987016	3050.860923	3738.162476	3109.465091	3475.423664	955.6025261	NA	NA	NA	NA	NA	2582.703418	NA	1711.882549	2863.936089	2657.843826	2907.696789
SAOUHSC_01975	44156.74318	41037.03605	35980.17258	28630.93535	15346.17082	25699.78705	36790.31353	37606.6355	65883.76258	50544.87576	41816.22973	57695.71755	33387.91389	23806.31475	31815.93822	18397.24639	18777.4043	30875.41234	52968.40749	31651.62008	50605.17386	32075.03243	42276.59045	46430.00339
SAOUHSC_02258	19128.8008	16436.56667	16621.0445	13096.26501	11201.60827	12755.48624	24264.09967	20373.74347	17971.50765	19084.69259	17188.25447	22512.7803	19754.38546	21065.96179	14645.84456	21687.72372	20906.74331	21492.39071	29237.4248	28116.75453	21868.72699	19069.34976	30645.65354	26349.82843
SAOUHSC_00651	NA	NA	NA	NA	NA	3952.242899	NA	1736.266309	3082.217996	5385.653765	4899.394853	5603.537222	NA	NA	NA	1805.479321	3173.613862	2088.145992	1216.130153	NA	NA	5156.299956	4241.187889	5062.926588
ValS	164410.0934	183392.1847	179512.7671	93888.94581	111962.0125	121338.9874	156344.5584	173657.3882	147284.5056	107972.2262	107941.4739	94384.10691	158061.345	133584.534	162670.3948	139381.9321	133799.0906	105813.8153	182029.8465	137613.9102	159026.8303	101432.6442	91807.99708	93012.64522
MiaB	15583.48048	15354.87386	13218.27793	NA	NA	NA	18996.92028	23645.5215	22723.1187	4167.896797	7647.017956	NA	5882.58759	11787.36091	9403.351798	NA	NA	NA	21931.29763	13500.12792	17259.30004	2770.157331	NA	NA
MurD	35403.61728	50160.13467	42679.27739	24706.04602	47587.13021	38380.12011	46506.21901	46995.31471	32073.23168	25174.57586	23843.46156	21933.46377	39656.78852	40349.14639	39388.11027	50343.53688	28571.10142	17607.56297	33227.0534	24603.21532	27726.86312	21568.71953	22680.49283	27205.19093
SAOUHSC_02383	55693.54002	52801.24838	46899.15824	35686.03922	25750.36895	29325.1758	67797.78589	62805.10227	79799.07287	58641.9983	59226.62386	45102.83498	67430.65735	38233.41826	64592.26924	27729.27466	43544.01148	36567.31493	83456.87986	50204.32754	77407.58993	57866.73477	45362.72709	57965.30226
Ung	NA	8680.599501	12974.8804	7948.535812	6289.021898	9383.659222	10799.04217	9332.892911	8771.163355	NA	8081.02309	8398.742513	NA	NA	NA	8161.409305	7723.470104	6310.470384	10067.04707	5641.89594	8429.436909	10193.34981	8886.231955	NA
