Protein	HG_RPMI_exp_1	HG_RPMI_exp_2	HG_RPMI_exp_3	HG_RPMI_stat_1	HG_RPMI_stat_2	HG_RPMI_stat_3	HG_TSB_exp_1	HG_TSB_exp_2	HG_TSB_exp_3	HG_TSB_stat_1	HG_TSB_stat_2	HG_TSB_stat_3	ST_RPMI_exp_1	ST_RPMI_exp_2	ST_RPMI_exp_3	ST_RPMI_stat_1	ST_RPMI_stat_2	ST_RPMI_stat_3	ST_TSB_exp_1	ST_TSB_exp_2	ST_TSB_exp_3	ST_TSB_stat_1	ST_TSB_stat_2	ST_TSB_stat_3
RplJ	1234907.599	1244792.401	1661922.922	960820.9239	1050221.363	1292052.109	1996156.35	2063500.816	1853134.357	803467.4016	687315.3667	713539.9392	1043171.21	1062282.075	1137912.575	1040623.932	895003.802	909868.3768	1756940.546	1693952.138	1889018.696	717233.387	632110.836	631400.8049
GlpD	100219.8302	124685.2396	117484.4772	87020.77027	85812.32508	97441.85806	158810.6604	150346.4249	154907.3416	139204.6394	164470.5564	139251.2285	88896.04314	92329.04281	89354.40809	99248.48818	78497.4026	52711.7911	137630.831	119257.7435	136307.9969	182758.8827	165817.8571	131643.9934
AroC	44976.29095	49391.58611	52234.04696	48566.96497	69073.07439	57690.33031	37949.50349	44677.52642	45513.53152	47904.67961	40749.88541	46698.77401	45624.98884	33318.98524	34528.05128	58585.82823	48661.25772	44163.20354	35937.58869	28708.44899	30902.06656	28778.86126	42182.86068	37268.16806
LacG	NA	NA	NA	NA	NA	3958.945855	NA	NA	4425.871464	11056.87519	10772.89122	10889.70227	NA	NA	NA	NA	6759.043621	NA	NA	NA	5155.542917	16699.76698	11182.73408	12392.13601
Def	249609.7012	278097.2583	297320.4598	171844.3375	202934.8538	245779.4463	255670.9239	221133.8805	215456.0589	93461.89257	78287.33421	105136.7964	267814.5542	215353.6124	241086.2439	239011.2015	189355.6016	158147.6768	207214.7263	176734.0968	227053.0769	103968.6567	99399.49381	86493.22975
ClpB	106599.0952	118046.9668	119390.9015	63344.92376	45584.81223	65224.52703	118623.6491	115954.3988	121998.3004	163928.7139	197337.4583	148030.588	182621.2077	109695.1763	172211.8604	88164.71455	84687.87827	69052.51292	180948.7499	141377.9846	183560.2639	219317.0245	194674.1369	226419.8279
AckA	502451.4399	667826.5404	736191.5629	300127.0025	327844.9731	451608.3411	801114.7564	745435.8942	741727.1624	540598.3846	604990.055	477614.2056	586234.7321	505208.0011	561097.7886	386005.3608	517459.2908	375592.0105	660329.3093	644116.8654	665225.2696	610437.8301	582430.7348	518759.666
SAOUHSC_02525	5349.472521	4940.195738	4202.137808	4367.927298	6404.630409	7293.535973	9913.001186	11174.78336	9487.940891	10456.17173	11816.46309	10266.97214	5146.40293	NA	4360.747879	3367.615152	4364.154623	2980.55161	6423.463204	9392.723379	12433.1058	9796.151506	10884.08136	8501.701562
PyrH	144928.9128	160551.3383	161166.6797	81211.8649	108901.0762	102764.1215	214247.3685	246371.7082	177469.2406	92015.08968	101895.2055	77463.7164	225785.7286	143670.8453	202550.4072	132294.8942	93547.69221	67223.14353	207726.6021	176984.8085	213984.5228	90528.90301	86459.17955	89038.70635
EngA	253897.4728	281911.1021	226835.6286	185646.7432	200026.993	219970.1996	228320.355	271726.0907	255439.7435	174578.9939	173668.5927	170919.4225	263148.6336	209059.0332	271123.3386	242549.8087	270164.6044	228942.9088	270653.4502	180943.3945	263288.9955	209512.1447	173164.5474	192898.335
AlaS	281762.6878	295713.1827	282305.7622	194680.7391	161721.201	197655.2845	196084.034	214236.4323	217812.0578	132413.496	125433.8251	123900.1021	266580.4222	234032.7476	313406.8492	247323.0876	229281.6542	189173.4224	205262.3276	192387.7843	244088.0997	143028.9691	136312.9373	141292.7176
HslO	89635.69721	113518.7461	92998.6626	22316.16757	26771.04309	50125.41481	177580.4971	176115.5879	169784.1373	75462.6096	67755.43588	71014.36586	82246.63632	122753.0791	74966.45747	34019.96825	36081.65218	94597.86299	159628.2057	127523.9687	133509.7785	83174.77214	74942.29875	66425.49716
SAOUHSC_00675	224605.9729	181970.8316	176475.7464	154547.7608	160008.8442	180943.5766	236349.6868	225537.2837	269427.9353	293928.9814	254468.3278	261748.9645	255103.651	227886.5433	283938.1228	146692.2497	141514.5829	173164.9344	350709.2918	220657.6573	316436.0458	360168.91	311192.1281	301118.2994
